timestamp,location_name,latitude,longitude,traffic_speed_kmph,free_flow_speed_kmph,congestion_level_percent,vehicle_count,weather,air_quality_index,road_type,day_of_week
2025-10-29 09:00:00,Navi Mumbai,19.033,73.0297,12.68,50.51,74.9,"2,107",CLOUDY,146.42,Main Road,Wednesday
2025-10-28 10:00:00,Andheri,19.12,72.85,23.49,46.18,49.13,,Rainy,93.61,Main Road ,Tuesday
2025-10-27 01:00:00,Dadar,19.0176,72.8479,33.13,48.13,31.17,749,CLOUDY,169.13, Main Road,Monday
2025-10-28 21:00:00,Navi Mumbai,19.033,73.0297,18.71,55.01,65.99,"2,727",humid,166.57,main road,Tuesday
2025-10-24 11:00:00,Worli,19.007,72.816,48.24,58.48,17.51,"1,380",Foggy,126.51,MAIN ROAD,Friday
2025-10-26 21:00:00,Malad,19.18,72.84,19.15,47.95,60.06,"1,201", Foggy,161.21,Highway,Sunday
2025-10-26 23:00:00,Sion,19.04,72.86,54.59,62.96,13.3,"2,591",Humid ,101.46,MAIN ROAD,Sunday
2025-10-24 06:00:00,Dadar,19.0176,72.8479,235.61377203620626,58.43,16.52,"1,348",FOGGY,792.6017054057954,residential,Friday
2025-10-25 12:00:00,Sion,19.04,72.86,50.6,62.07,18.47,"1,101",Humid,121.75,residential,Saturday
2025-10-28 09:00:00,Chembur,19.0625,72.9,12.29,58.47,78.98,569,Foggy ,224.5,Main Road,Tuesday
2025-10-26 14:00:00,Malad,19.18,72.84,43.55,52.06,16.33,"2,154",HUMID,81.22,Main Road ,Sunday
2025-10-29 02:00:00,Worli,19.007,72.816,49.87,45.97,-8.48,888, Cloudy,96.38,Main Road ,Wednesday
2025-10-30 14:00:00,Sion,19.04,72.86,38.52,45.16,14.71,"1,083",Cloudy,75.33,Main Road ,Thursday
2025-10-28 05:00:00,Malad,19.18,72.84,41.55,59.67,30.38,559, Rainy,135.62,Main Road ,Tuesday
2025-10-24 23:00:00,Borivali,19.23,72.86,40.87,63.87,36.01,"1,452",humid,95.39,Residential ,Friday
2025-10-25 09:00:00,Chembur,19.0625,72.9,25.52,48.04,46.87,998,Rainy,93.23,Main Road ,Saturday
2025-10-26 03:00:00,Powai,19.1187,72.905,45.68,50.57,9.67,"2,937",rainy,111.42,RESIDENTIAL,Sunday
2025-10-24 07:00:00,Chembur,19.0625,72.9,13.34,46.05,71.03,"2,869", Cloudy,116.84,RESIDENTIAL,Friday
2025-10-27 11:00:00,Powai,19.1187,72.905,47.82,46.03,-3.88,585,RAINY,88.5,Highway ,Monday
2025-10-26 17:00:00,Bandra,19.06,72.83,19.46,64.84,69.99,"1,871",Foggy ,222.94,HIGHWAY,Sunday
2025-10-27 06:00:00,Navi Mumbai,19.033,73.0297,35.52,45.08,21.21,784,FOGGY,,highway,Monday
2025-10-30 04:00:00,Dadar,19.0176,72.8479,47.28,51.92,8.92,"2,831",CLEAR,,Residential ,Thursday
2025-10-24 19:00:00,Navi Mumbai,19.033,73.0297,16.65,62.05,73.17,"1,807",foggy,224.02,highway,Friday
2025-10-31 00:00:00,Borivali,19.23,72.86,52.92,53.06,0.27,641, Rainy,62.36,main road,Friday
2025-10-24 23:00:00,Malad,19.18,72.84,40.91,46.08,11.23,"2,170",Rainy,102.98,Residential,Friday
2025-10-30 04:00:00,Powai,19.1187,72.905,35.72,58.87,39.32,"2,832",Rainy ,140.73,MAIN ROAD,Thursday
2025/10/26 22:00:00,Bandra,19.06,72.83,46.11,59.63,22.67,"1,570",humid,87.13,Main Road,Sunday
2025-10-25 21:00:00,Worli,19.007,72.816,22.3,55.51,59.83,780, Foggy,179.03,Highway,Saturday
2025-10-25 05:00:00,Powai,19.1187,72.905,,52.67,29.43,"2,452",rainy,87.7,Highway,Saturday
2025-10-28 15:00:00,Borivali,19.23,72.86,43.2,61.98,30.29,"1,616",CLEAR,122.42,RESIDENTIAL,Tuesday
2025-10-24 20:00:00,Worli,19.007,72.816,13.15,46.59,71.77,872,Foggy ,215.24,residential,Friday
2025-10-25 00:00:00,Borivali,19.23,72.86,33.39,55.93,40.3,"1,052", Rainy,83.0, Highway,Saturday
2025-10-28 19:00:00,Dadar,19.0176,72.8479,17.32,49.27,64.85,764, Clear,169.57,residential,Tuesday
2025-10-25 21:00:00,Malad,19.18,72.84,18.31,55.89,67.23,"2,263",Rainy,131.29,Residential,Saturday
2025-10-27 05:00:00,Worli,19.007,72.816,37.46,58.64,36.11,"2,439",clear,,highway,Monday
2025-10-28 13:00:00,Bandra,19.06,72.83,37.19,51.77,28.17,"2,665",Humid ,114.0,highway,Tuesday
2025-10-26 20:00:00,Andheri,19.12,72.85,12.23,64.93,81.17,626, Clear,173.24,Main Road,Sunday
2025-10-25 05:00:00,Bandra,19.06,72.83,52.96,49.7,-6.56,"1,510",Cloudy,82.53,residential,Saturday
2025-10-24 07:00:00,Worli,19.007,72.816,15.36,63.65,75.87,,humid,126.91, Residential,Friday
2025-10-27 12:00:00,Dadar,19.0176,72.8479,33.69,57.44,41.35,,Cloudy,123.95,residential,Monday
2025-10-28 00:00:00,Navi Mumbai,19.033,73.0297,249.29062892071977,52.28,5.35,731,Rainy ,936.9839708906009,Main Road ,Tuesday
2025-10-27 15:00:00,Dadar,19.0176,72.8479,52.77,50.7,-4.08,"2,870",cloudy,77.7,Residential ,Monday
2025-10-26 12:00:00,Worli,19.007,72.816,34.05,61.82,44.93,"1,557", Foggy,199.09,Residential,Sunday
2025-10-30 03:00:00,Andheri,19.12,72.85,39.28,55.81,29.61,"2,785",Clear ,,residential,Thursday
